Time,Power,Operation,FR,CR,Rho,Insert_Rho
336,2.96178E-09,1.94827E-09,4,22.62,13,1032.64
337,2.96662E-09,2.74607E-09,4,22.62,13,1032.64
338,2.97146E-09,2.51431E-09,4,22.62,13,1032.64
339,2.97632E-09,2.59928E-09,4,22.62,13,1032.64
340,2.98118E-09,2.13043E-09,4,22.62,13,1032.64
341,2.98605E-09,2.61028E-09,4,22.62,13,1032.64
342,2.99093E-09,1.7665E-09,4,22.62,13,1032.64
343,2.99582E-09,2.72862E-09,4,22.62,13,1032.64
344,3.00072E-09,1.6894E-09,4,22.62,13,1032.64
345,3.00562E-09,2.66611E-09,4,22.62,13,1032.64
346,3.01053E-09,2.02494E-09,4,22.62,13,1032.64
347,3.01545E-09,2.73122E-09,4,22.62,13,1032.64
348,3.02038E-09,2.42973E-09,4,22.62,13,1032.64
349,3.02531E-09,2.68889E-09,4,22.62,13,1032.64
350,3.03025E-09,1.96841E-09,4,22.62,13,1032.64
351,3.03521E-09,2.63861E-09,4,22.62,13,1032.64
352,3.04017E-09,1.79712E-09,4,22.62,13,1032.64
353,3.04513E-09,2.71336E-09,4,22.62,13,1032.64
354,3.05011E-09,1.76757E-09,4,22.62,13,1032.64
355,3.05509E-09,2.6669E-09,4,22.62,13,1032.64
356,3.06008E-09,2.04808E-09,4,22.62,13,1032.64
357,3.06508E-09,2.71589E-09,4,22.62,13,1032.64
358,3.07009E-09,2.54279E-09,4,22.62,13,1032.64
359,3.07511E-09,2.73645E-09,4,22.62,13,1032.64
360,3.08013E-09,2.15619E-09,4,22.62,13,1032.64
361,3.08516E-09,2.77976E-09,4,22.62,13,1032.64
362,3.0902E-09,2.12022E-09,4,22.62,13,1032.64
363,3.09525E-09,2.70114E-09,4,22.62,13,1032.64
364,3.10031E-09,2.21803E-09,4,22.62,13,1032.64
365,3.10538E-09,2.92706E-09,4,22.62,13,1032.64
366,3.11045E-09,2.09775E-09,4,22.62,13,1032.64
367,3.11553E-09,2.89257E-09,4,22.62,13,1032.64
368,3.12062E-09,2.05033E-09,4,22.62,13,1032.64
369,3.12572E-09,2.81062E-09,4,22.62,13,1032.64
370,3.13083E-09,2.57288E-09,4,22.62,13,1032.64
371,3.13594E-09,2.84821E-09,4,22.62,13,1032.64
372,3.14107E-09,2.45867E-09,4,22.62,13,1032.64
373,3.1462E-09,2.84705E-09,4,22.62,13,1032.64
374,3.15134E-09,2.54407E-09,4,22.62,13,1032.64
375,3.15649E-09,2.84792E-09,4,22.62,13,1032.64
376,3.16164E-09,2.61753E-09,4,22.62,13,1032.64
377,3.16681E-09,3.26682E-09,4,22.62,13,1032.64
378,3.17198E-09,2.6367E-09,4,22.62,13,1032.64
379,3.17717E-09,3.17503E-09,4,22.62,13,1032.64
380,3.18236E-09,2.74284E-09,4,22.62,13,1032.64
381,3.18755E-09,3.32451E-09,4,22.62,13,1032.64
382,3.19276E-09,2.75999E-09,4,22.62,13,1032.64
383,3.19798E-09,3.26822E-09,4,22.62,13,1032.64
384,3.2032E-09,2.69735E-09,4,22.62,13,1032.64
385,3.20844E-09,3.24899E-09,4,22.62,13,1032.64
386,3.21368E-09,2.87135E-09,4,22.62,13,1032.64
387,3.21893E-09,1.85104E-09,4,22.62,13,1032.64
388,3.22419E-09,2.69841E-09,4,22.62,13,1032.64
389,3.22945E-09,2.36126E-09,4,22.62,13,1032.64
390,3.23473E-09,2.70358E-09,4,22.62,13,1032.64
391,3.24002E-09,3.36237E-09,4,22.62,13,1032.64
392,3.24531E-09,2.82389E-09,4,22.62,13,1032.64
393,3.25061E-09,3.26886E-09,4,22.62,13,1032.64
394,3.25592E-09,2.87154E-09,4,22.62,13,1032.64
395,3.26124E-09,3.08807E-09,4,22.62,13,1032.64
396,3.26657E-09,2.68023E-09,4,22.62,13,1032.64
397,3.2719E-09,3.4992E-09,4,22.62,13,1032.64
398,3.27725E-09,2.60923E-09,4,22.62,13,1032.64
399,3.2826E-09,3.10306E-09,4,22.62,13,1032.64
400,3.28797E-09,2.35187E-09,4,22.62,13,1032.64
401,3.29334E-09,2.94514E-09,4,22.62,13,1032.64
402,3.29872E-09,2.02769E-09,4,22.62,13,1032.64
403,3.30411E-09,2.97571E-09,4,22.62,13,1032.64
404,3.30951E-09,2.69447E-09,4,22.62,13,1032.64
405,3.31491E-09,2.98244E-09,4,22.62,13,1032.64
406,3.32033E-09,2.31091E-09,4,22.62,13,1032.64
407,3.32575E-09,2.89472E-09,4,22.62,13,1032.64
408,3.33118E-09,1.9705E-09,4,22.62,13,1032.64
409,3.33663E-09,2.9922E-09,4,22.62,13,1032.64
410,3.34208E-09,2.05135E-09,4,22.62,13,1032.64
411,3.34754E-09,2.99301E-09,4,22.62,13,1032.64
412,3.35301E-09,3.00262E-09,4,22.62,13,1032.64
413,3.35848E-09,2.95172E-09,4,22.62,13,1032.64
414,3.36397E-09,2.15831E-09,4,22.62,13,1032.64
415,3.36947E-09,2.97703E-09,4,22.62,13,1032.64
416,3.37497E-09,1.94912E-09,4,22.62,13,1032.64
417,3.38048E-09,2.90764E-09,4,22.62,13,1032.64
418,3.38601E-09,1.94844E-09,4,22.62,13,1032.64
419,3.39154E-09,3.04376E-09,4,22.62,13,1032.64
420,3.39708E-09,2.14713E-09,4,22.62,13,1032.64
